Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collected_by	Collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host_disease	Host	Instrument	Isolate	Isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SPECID	SRA Study	lib	type	days_post_onset
SRR6121204	WGS	252	897767136	PRJNA412631	SAMN07722258	Pathogen.cl	441834121	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-11-17	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234115	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50359	throat swab	42.284062 N 83.727127 W	MH7409_B_HK2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH7409	MH7409	SRP119147	HK2	clinical	3.0
SRR6121559	WGS	252	921709656	PRJNA412631	SAMN07722318	Pathogen.cl	452193449	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-05	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234190	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50874	throat swab	42.284062 N 83.727127 W	HS1381_B_HK1	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1381	HS1381	SRP119147	HK1	clinical	0.0
SRR6121558	WGS	252	960451380	PRJNA412631	SAMN07722294	Pathogen.cl	443447453	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-05	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234191	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50678	throat swab	42.284062 N 83.727127 W	HS1385_A_HK6	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1385	HS1385	SRP119147	HK6	clinical	0.0
SRR6121557	WGS	252	814374288	PRJNA412631	SAMN07722156	Pathogen.cl	417816767	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-02-23	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234192	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	320110	throat swab	42.284062 N 83.727127 W	1205_perth	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1205	MH0922	SRP119147	perth	clinical	3.0
SRR6121556	WGS	252	1089575676	PRJNA412631	SAMN07722156	Pathogen.cl	583640538	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-02-23	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234193	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	320110	throat swab	42.284062 N 83.727127 W	1205_perth_2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1205	MH0922	SRP119147	perth_2	clinical	3.0
SRR6121555	WGS	252	767297412	PRJNA412631	SAMN07722155	Pathogen.cl	387700043	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-02-14	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234194	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	320661	throat swab	42.284062 N 83.727127 W	1204_perth	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1204	MH0778	SRP119147	perth	clinical	1.0
SRR6121553	WGS	252	694113336	PRJNA412631	SAMN07722158	Pathogen.cl	341450407	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-03-12	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234196	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	320645	throat swab	42.284062 N 83.727127 W	1217_perth	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1217	MH1346	SRP119147	perth	clinical	1.0
SRR6121552	WGS	252	787805172	PRJNA412631	SAMN07722158	Pathogen.cl	412578871	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-03-12	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234197	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	320645	throat swab	42.284062 N 83.727127 W	1217_perth_2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1217	MH1346	SRP119147	perth_2	clinical	1.0
SRR6121551	WGS	252	899696952	PRJNA412631	SAMN07722157	Pathogen.cl	451734066	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-03-08	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234198	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	321372	throat swab	42.284062 N 83.727127 W	1213_perth	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1213	MH1205	SRP119147	perth	clinical	0.0
SRR6121549	WGS	252	945580608	PRJNA412631	SAMN07722159	Pathogen.cl	472542348	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-04-13	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234200	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	320468	throat swab	42.284062 N 83.727127 W	1221_perth	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1221	MH1782	SRP119147	perth	clinical	1.0
SRR6121548	WGS	252	914588388	PRJNA412631	SAMN07722159	Pathogen.cl	482395697	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-04-13	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234201	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	320468	throat swab	42.284062 N 83.727127 W	1221_perth_2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1221	MH1782	SRP119147	perth_2	clinical	1.0
SRR6121535	WGS	252	745189704	PRJNA412631	SAMN07722257	Pathogen.cl	359142779	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-15	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234214	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50332	throat swab	42.284062 N 83.727127 W	MH8126_B_HK2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH8126	MH8126	SRP119147	HK2	clinical	4.0
SRR6121534	WGS	252	929622960	PRJNA412631	SAMN07722257	Pathogen.cl	410234000	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-15	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234215	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50332	throat swab	42.284062 N 83.727127 W	MH8126_A_HK8	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH8126	MH8126	SRP119147	HK8	clinical	4.0
SRR6121532	WGS	252	970916940	PRJNA412631	SAMN07722323	Pathogen.cl	432341232	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-15	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234217	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50921	throat swab	42.284062 N 83.727127 W	MH8129_A_HK8	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH8129	MH8129	SRP119147	HK8	clinical	1.0
SRR6121530	WGS	252	1061738748	PRJNA412631	SAMN07722369	Pathogen.cl	452831505	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-15	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234219	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	51335	throat swab	42.284062 N 83.727127 W	MH8090_A_HK8	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH8090	MH8090	SRP119147	HK8	clinical	2.0
SRR6121529	WGS	252	1101979116	PRJNA412631	SAMN07722238	Pathogen.cl	524313091	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-15	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234220	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50232	throat swab	42.284062 N 83.727127 W	MH8125_B_HK2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH8125	MH8125	SRP119147	HK2	clinical	3.0
SRR6121527	WGS	252	579427632	PRJNA412631	SAMN07722311	Pathogen.cl	282991951	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-11-30	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234222	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50832	throat swab	42.284062 N 83.727127 W	HS1341_B_HK1	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1341	HS1341	SRP119147	HK1	clinical	0.0
SRR6121525	WGS	252	984531996	PRJNA412631	SAMN07722276	Pathogen.cl	484493814	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-11-19	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234224	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50551	throat swab	42.284062 N 83.727127 W	MH7440_B_HK2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH7440	MH7440	SRP119147	HK2	clinical	1.0
SRR6121524	WGS	252	708418116	PRJNA412631	SAMN07722286	Pathogen.cl	320407577	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-11-22	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234225	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50620	throat swab	42.284062 N 83.727127 W	HS1313_B_HK6	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1313	HS1313	SRP119147	HK6	clinical	0.0
SRR6121520	WGS	252	822838212	PRJNA412631	SAMN07722135	Pathogen.cl	425616295	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2011-02-22	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234229	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	301306	throat swab	42.284062 N 83.727127 W	1139_perth	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1139	M54181	SRP119147	perth	clinical	2.0
SRR6121560	WGS	252	1172098116	PRJNA412631	SAMN07722318	Pathogen.cl	535113185	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-05	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234189	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50874	throat swab	42.284062 N 83.727127 W	HS1381_A_HK6	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1381	HS1381	SRP119147	HK6	clinical	0.0
SRR6121516	WGS	252	1369473084	PRJNA412631	SAMN07722133	Pathogen.cl	693827586	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2011-02-16	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234233	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	301072	throat swab	42.284062 N 83.727127 W	1134_perth	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1134	M54053	SRP119147	perth	clinical	1.0
SRR6121561	WGS	252	856982952	PRJNA412631	SAMN07722252	Pathogen.cl	432469200	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-03	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234188	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50322	throat swab	42.284062 N 83.727127 W	HS1377_B_HK1	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1377	HS1377	SRP119147	HK1	clinical	0.0
