Specid	Run_x	Run_y	Segment	Start	Stop	Total_support_x	Total_support_y	Rel_support_x	Rel_support_y	plasmid_x	plasmid_y	segment	mapped_start	mapped_stop	enrollid	genomes_per_ul	Total_support	Rel_support
HS1294	SRR6121280	SRR6121628	CY207736.1	274	2149	163.0	224.0	0.1487226277372262	0.2043795620437956	False	False	PA	285	2160	50630	1643.25210769416	193.5	0.1765510948905109
HS1294	SRR6121280	SRR6121628	CY207736.1	287	2175	40.0	0.0	0.0364963503649635	0.0	False	False	PA	298	2186	50630	1643.25210769416	20.0	0.01824817518248175
HS1294	SRR6121280	SRR6121628	CY207736.1	332	2149	911.0	740.0	0.8312043795620438	0.6751824817518248	False	False	PA	343	2160	50630	1643.25210769416	825.5	0.7531934306569343
HS1294	SRR6121280	SRR6121628	CY207736.1	334	368	123.0	15.0	0.1122262773722627	0.0136861313868613	False	False	PA	345	379	50630	1643.25210769416	69.0	0.06295620437956201
HS1294	SRR6121280	SRR6121628	CY207736.1	361	387	125.0	0.0	0.1140510948905109	0.0	False	False	PA	372	398	50630	1643.25210769416	62.5	0.05702554744525545
HS1294	SRR6121280	SRR6121628	CY207736.1	367	2160	5.0	9.0	0.0045620437956204	0.0082116788321167	False	False	PA	378	2171	50630	1643.25210769416	7.0	0.00638686131386855
HS1294	SRR6121280	SRR6121628	CY207736.1	406	2148	853.0	620.0	0.7782846715328468	0.5656934306569343	False	False	PA	417	2159	50630	1643.25210769416	736.5	0.6719890510948905
HS1294	SRR6121280	SRR6121628	CY207736.1	436	2075	776.0	168.0	0.708029197080292	0.1532846715328467	False	False	PA	447	2086	50630	1643.25210769416	472.0	0.43065693430656937
HS1294	SRR6121280	SRR6121628	CY207736.1	467	2204	14.0	8.0	0.0127737226277372	0.0072992700729927	False	False	PA	478	2215	50630	1643.25210769416	11.0	0.01003649635036495
HS1294	SRR6121280	SRR6121628	CY207736.1	493	2238	5460.0	4041.0	4.981751824817518	3.687043795620438	False	False	PA	504	2249	50630	1643.25210769416	4750.5	4.334397810218978
HS1294	SRR6121280	SRR6121628	CY207736.1	494	2239	11.0	6.0	0.0100364963503649	0.0054744525547445	False	False	PA	505	2250	50630	1643.25210769416	8.5	0.0077554744525546995
HS1294	SRR6121280	SRR6121628	CY207736.1	546	2063	139.0	0.0	0.1268248175182481	0.0	False	False	PA	557	2074	50630	1643.25210769416	69.5	0.06341240875912404
HS1294	SRR6121280	SRR6121628	CY207736.1	612	1895	163.0	0.0	0.1487226277372262	0.0	False	False	PA	623	1906	50630	1643.25210769416	81.5	0.0743613138686131
HS1294	SRR6121280	SRR6121628	CY207736.1	651	1912	271.0	312.0	0.2472627737226277	0.2846715328467153	False	False	PA	662	1923	50630	1643.25210769416	291.5	0.2659671532846715
HS1294	SRR6121280	SRR6121628	CY207736.1	702	1863	160.0	270.0	0.145985401459854	0.2463503649635036	False	False	PA	713	1874	50630	1643.25210769416	215.0	0.1961678832116788
HS1294	SRR6121280	SRR6121628	CY207736.1	710	1830	267.0	0.0	0.2436131386861313	0.0	False	False	PA	721	1841	50630	1643.25210769416	133.5	0.12180656934306565
HS1294	SRR6121280	SRR6121628	CY207737.1	2175	2250	99.0	178.0	0.0857885615251299	0.1542461005199306	False	False	PB1	2184	2259	50630	1643.25210769416	138.5	0.12001733102253025
HS1294	SRR6121280	SRR6121628	CY207737.1	2297	2334	336.0	0.0	0.291161178509532	0.0	False	False	PB1	2306	2343	50630	1643.25210769416	168.0	0.145580589254766
HS1294	SRR6121280	SRR6121628	CY207737.1	236	367	126.0	0.0	0.1091854419410745	0.0	False	False	PB1	245	376	50630	1643.25210769416	63.0	0.05459272097053725
HS1294	SRR6121280	SRR6121628	CY207737.1	455	2095	48.0	89.0	0.0415944540727903	0.0771230502599653	False	False	PB1	464	2104	50630	1643.25210769416	68.5	0.0593587521663778
HS1294	SRR6121280	SRR6121628	CY207737.1	582	2211	334.0	0.0	0.2894280762564991	0.0	False	False	PB1	591	2220	50630	1643.25210769416	167.0	0.14471403812824954
HS1294	SRR6121280	SRR6121628	CY207738.1	2173	2333	496.0	193.0	0.4294372294372294	0.1670995670995671	False	False	PB2	2188	2348	50630	1643.25210769416	344.5	0.29826839826839824
HS1294	SRR6121280	SRR6121628	CY207738.1	433	485	229.0	690.0	0.1982683982683982	0.5974025974025974	False	False	PB2	448	500	50630	1643.25210769416	459.5	0.39783549783549776
HS1294	SRR6121280	SRR6121628	CY207738.1	509	2284	427.0	450.0	0.3696969696969697	0.3896103896103896	False	False	PB2	524	2299	50630	1643.25210769416	438.5	0.37965367965367963
HS1294	SRR6121280	SRR6121628	CY207738.1	517	2215	314.0	0.0	0.2718614718614718	0.0	False	False	PB2	532	2230	50630	1643.25210769416	157.0	0.1359307359307359
HS1294	SRR6121280	SRR6121628	CY207738.1	543	2059	424.0	222.0	0.3670995670995671	0.1922077922077922	False	False	PB2	558	2074	50630	1643.25210769416	323.0	0.27965367965367965
HS1294	SRR6121280	SRR6121628	CY207738.1	566	2248	202.0	718.0	0.1748917748917749	0.6216450216450217	False	False	PB2	581	2263	50630	1643.25210769416	460.0	0.39826839826839827
HS1294	SRR6121280	SRR6121628	CY207736.1	385	2173	0.0	222.0	0.0	0.2025547445255474	False	False	PA	396	2184	50630	1643.25210769416	111.0	0.1012773722627737
HS1294	SRR6121280	SRR6121628	CY207736.1	391	456	0.0	341.0	0.0	0.3111313868613138	False	False	PA	402	467	50630	1643.25210769416	170.5	0.1555656934306569
HS1294	SRR6121280	SRR6121628	CY207736.1	412	2111	0.0	38.0	0.0	0.0346715328467153	False	False	PA	423	2122	50630	1643.25210769416	19.0	0.01733576642335765
HS1294	SRR6121280	SRR6121628	CY207736.1	416	2144	0.0	97.0	0.0	0.0885036496350365	False	False	PA	427	2155	50630	1643.25210769416	48.5	0.04425182481751825
HS1294	SRR6121280	SRR6121628	CY207736.1	509	2170	0.0	321.0	0.0	0.2928832116788321	False	False	PA	520	2181	50630	1643.25210769416	160.5	0.14644160583941604
HS1294	SRR6121280	SRR6121628	CY207736.1	510	2171	0.0	16.0	0.0	0.0145985401459854	False	False	PA	521	2182	50630	1643.25210769416	8.0	0.0072992700729927
HS1294	SRR6121280	SRR6121628	CY207736.1	536	1730	0.0	168.0	0.0	0.1532846715328467	False	False	PA	547	1741	50630	1643.25210769416	84.0	0.07664233576642335
HS1294	SRR6121280	SRR6121628	CY207736.1	556	1869	0.0	15.0	0.0	0.0136861313868613	False	False	PA	567	1880	50630	1643.25210769416	7.5	0.00684306569343065
HS1294	SRR6121280	SRR6121628	CY207736.1	634	2009	0.0	209.0	0.0	0.1906934306569343	False	False	PA	645	2020	50630	1643.25210769416	104.5	0.09534671532846715
HS1294	SRR6121280	SRR6121628	CY207736.1	731	1859	0.0	53.0	0.0	0.0483576642335766	False	False	PA	742	1870	50630	1643.25210769416	26.5	0.0241788321167883
HS1294	SRR6121280	SRR6121628	CY207737.1	2353	2414	0.0	26.0	0.0	0.022530329289428	False	False	PB1	2362	2423	50630	1643.25210769416	13.0	0.011265164644714
HS1294	SRR6121280	SRR6121628	CY207737.1	324	2359	0.0	19.0	0.0	0.0164644714038128	False	False	PB1	333	2368	50630	1643.25210769416	9.5	0.0082322357019064
HS1294	SRR6121280	SRR6121628	CY207737.1	875	1729	0.0	155.0	0.0	0.134315424610052	False	False	PB1	884	1738	50630	1643.25210769416	77.5	0.067157712305026
HS1341	SRR6121527	SRR6121625	CY207736.1	1855	1895	6.0	18.0	0.0054744525547445	0.0164233576642335	False	False	PA	1866	1906	50832	42048.2628731935	12.0	0.010948905109489
HS1341	SRR6121527	SRR6121625	CY207736.1	268	291	34.0	53.0	0.0310218978102189	0.0483576642335766	False	False	PA	279	302	50832	42048.2628731935	43.5	0.03968978102189775
HS1341	SRR6121527	SRR6121625	CY207736.1	320	2141	22.0	30.0	0.0200729927007299	0.0273722627737226	False	False	PA	331	2152	50832	42048.2628731935	26.0	0.02372262773722625
HS1341	SRR6121527	SRR6121625	CY207736.1	444	2121	25.0	10.0	0.0228102189781021	0.0091240875912408	False	False	PA	455	2132	50832	42048.2628731935	17.5	0.01596715328467145
HS1341	SRR6121527	SRR6121625	CY207736.1	448	2132	102.0	135.0	0.0930656934306569	0.1231751824817518	False	False	PA	459	2143	50832	42048.2628731935	118.5	0.10812043795620435
HS1341	SRR6121527	SRR6121625	CY207736.1	477	2147	9.0	2.0	0.0082116788321167	0.0018248175182481	False	False	PA	488	2158	50832	42048.2628731935	5.5	0.0050182481751824
HS1341	SRR6121527	SRR6121625	CY207736.1	490	2156	16.0	29.0	0.0145985401459854	0.0264598540145985	False	False	PA	501	2167	50832	42048.2628731935	22.5	0.02052919708029195
HS1341	SRR6121527	SRR6121625	CY207736.1	511	1789	12.0	17.0	0.010948905109489	0.0155109489051094	False	False	PA	522	1800	50832	42048.2628731935	14.5	0.0132299270072992
HS1341	SRR6121527	SRR6121625	CY207736.1	555	2017	81.0	69.0	0.0739051094890511	0.062956204379562	False	False	PA	566	2028	50832	42048.2628731935	75.0	0.06843065693430656
HS1341	SRR6121527	SRR6121625	CY207736.1	561	1995	29.0	46.0	0.0264598540145985	0.041970802919708	False	False	PA	572	2006	50832	42048.2628731935	37.5	0.03421532846715325
HS1341	SRR6121527	SRR6121625	CY207736.1	628	1945	31.0	22.0	0.0282846715328467	0.0200729927007299	False	False	PA	639	1956	50832	42048.2628731935	26.5	0.0241788321167883
HS1341	SRR6121527	SRR6121625	CY207736.1	634	1808	7.0	7.0	0.0063868613138686	0.0063868613138686	False	False	PA	645	1819	50832	42048.2628731935	7.0	0.0063868613138686
HS1341	SRR6121527	SRR6121625	CY207736.1	636	1872	7.0	13.0	0.0063868613138686	0.0118613138686131	False	False	PA	647	1883	50832	42048.2628731935	10.0	0.009124087591240851
HS1341	SRR6121527	SRR6121625	CY207736.1	636	1936	38.0	39.0	0.0346715328467153	0.0355839416058394	False	False	PA	647	1947	50832	42048.2628731935	38.5	0.03512773722627735
HS1341	SRR6121527	SRR6121625	CY207736.1	649	1912	17.0	26.0	0.0155109489051094	0.0237226277372262	False	False	PA	660	1923	50832	42048.2628731935	21.5	0.0196167883211678
HS1341	SRR6121527	SRR6121625	CY207736.1	725	1791	3.0	8.0	0.0027372262773722	0.0072992700729927	False	False	PA	736	1802	50832	42048.2628731935	5.5	0.00501824817518245
HS1341	SRR6121527	SRR6121625	CY207736.1	734	1805	4.0	9.0	0.0036496350364963	0.0082116788321167	False	False	PA	745	1816	50832	42048.2628731935	6.5	0.0059306569343065
HS1341	SRR6121527	SRR6121625	CY207736.1	736	1594	11.0	2.0	0.0100364963503649	0.0018248175182481	False	False	PA	747	1605	50832	42048.2628731935	6.5	0.0059306569343065
HS1341	SRR6121527	SRR6121625	CY207736.1	736	1829	17.0	24.0	0.0155109489051094	0.0218978102189781	False	False	PA	747	1840	50832	42048.2628731935	20.5	0.018704379562043752
HS1341	SRR6121527	SRR6121625	CY207736.1	753	1769	36.0	37.0	0.0328467153284671	0.0337591240875912	False	False	PA	764	1780	50832	42048.2628731935	36.5	0.03330291970802915
HS1341	SRR6121527	SRR6121625	CY207736.1	755	1599	3.0	27.0	0.0027372262773722	0.0246350364963503	False	False	PA	766	1610	50832	42048.2628731935	15.0	0.01368613138686125
HS1341	SRR6121527	SRR6121625	CY207736.1	761	1830	12.0	0.0	0.010948905109489	0.0	False	False	PA	772	1841	50832	42048.2628731935	6.0	0.0054744525547445
