segment	mapped_start	mapped_stop	0_x	0_y
NS	316	545	206	125.0
M	523	665	156	121.0
M	484	620	120	95.0
NS	324	551	97	97.0
M	80	653	91	91.0
M	490	644	82	52.0
M	394	667	77	77.0
M	152	378	60	60.0
M	622	671	58	58.0
PA	524	1795	55	55.0
M	398	828	51	51.0
M	250	668	48	48.0
PA	568	1753	45	45.0
NS	304	534	42	42.0
PA	397	1803	42	42.0
M	520	770	41	41.0
M	73	355	39	39.0
PA	500	1796	38	38.0
HA	367	1443	35	32.0
PA	135	1949	35	28.0
PB2	172	2118	32	32.0
M	686	817	31	31.0
M	252	626	27	27.0
NP	327	647	27	27.0
NS	147	381	27	20.0
PA	186	1948	26	26.0
PA	1367	1796	26	21.0
PA	168	1961	25	25.0
PA	204	1949	25	25.0
PA	205	1965	25	25.0
M	59	353	24	24.0
M	239	483	24	24.0
HA	370	1006	23	23.0
PA	896	1806	23	23.0
PB2	191	2119	23	23.0
M	74	356	22	22.0
M	563	759	22	21.0
M	434	762	22	14.0
M	239	618	21	21.0
M	738	824	21	21.0
PB2	988	1897	21	21.0
PB2	1198	1844	21	21.0
PB2	988	1894	20	20.0
NS	154	648	19	19.0
PA	135	1934	19	19.0
PA	135	1954	19	19.0
PA	162	1973	19	19.0
PA	313	1865	19	19.0
PB1	47	72	19	19.0
PA	479	1756	19	13.0
PA	239	1867	18	18.0
M	394	766	17	17.0
NP	1248	1372	17	17.0
PA	136	1943	17	17.0
M	126	607	16	16.0
M	486	769	16	16.0
PA	296	1867	16	16.0
PA	1059	1448	16	16.0
M	623	659	16	7.0
M	597	667	15	15.0
M	609	819	15	15.0
NA	221	719	15	15.0
NP	1241	1318	15	15.0
PA	313	1829	15	15.0
PA	487	1753	15	15.0
PA	679	1778	15	15.0
PA	1933	1971	15	15.0
PB2	175	2088	15	15.0
M	354	702	14	14.0
PA	136	1958	14	14.0
PA	161	1948	14	14.0
PA	279	1811	14	14.0
PA	291	1865	14	14.0
PB2	172	2116	14	14.0
PA	187	1945	14	12.0
M	345	640	13	13.0
M	389	492	13	13.0
PA	139	1975	13	13.0
PA	165	1972	13	13.0
PA	193	1951	13	13.0
PA	312	1810	13	13.0
PA	356	1829	13	13.0
PA	365	1836	13	13.0
PB2	172	2122	13	13.0
PB2	192	2118	13	13.0
PB2	258	2001	13	13.0
PB1	203	930	13	11.0
HA	251	1177	12	12.0
HA	291	780	12	12.0
M	224	511	12	12.0
M	778	841	12	12.0
PA	136	166	12	12.0
PA	186	1933	12	12.0
PA	290	1810	12	12.0
PA	291	1829	12	12.0
PA	301	1865	12	12.0
PB1	1105	1842	12	12.0
PB1	2121	2155	12	12.0
M	595	638	12	10.0
M	390	607	11	11.0
M	400	801	11	11.0
NA	51	1035	11	11.0
PA	134	1972	11	11.0
PA	186	1941	11	11.0
PA	238	1950	11	11.0
PA	256	1866	11	11.0
PA	291	314	11	11.0
PB2	179	2118	11	11.0
PB2	867	2053	11	11.0
M	162	605	10	10.0
NA	899	993	10	10.0
PA	134	2016	10	10.0
PA	136	2025	10	10.0
PA	166	1944	10	10.0
PA	186	1956	10	10.0
PA	192	1984	10	10.0
PA	193	1948	10	10.0
PA	204	1957	10	10.0
PA	205	1935	10	10.0
PA	278	1828	10	10.0
PA	290	1842	10	10.0
PA	304	1864	10	10.0
PA	347	1828	10	10.0
PA	355	1810	10	10.0
PA	421	1750	10	10.0
PB1	46	90	10	10.0
PB1	235	2037	10	10.0
PB1	383	1894	10	10.0
HA	364	1198	9	9.0
M	80	462	9	9.0
M	116	770	9	9.0
M	724	821	9	9.0
NP	639	1317	9	9.0
PA	87	109	9	9.0
PA	135	169	9	9.0
PA	135	1964	9	9.0
PA	135	1983	9	9.0
PA	164	1949	9	9.0
PA	184	1978	9	9.0
PA	216	1948	9	9.0
PA	237	1957	9	9.0
PA	256	1830	9	9.0
PA	256	1950	9	9.0
PA	293	1810	9	9.0
PA	293	1820	9	9.0
PA	296	1831	9	9.0
PA	716	1468	9	9.0
PB1	39	70	9	9.0
PB1	193	2006	9	9.0
PB1	2212	2249	9	9.0
PB2	167	2118	9	9.0
PB2	173	2101	9	9.0
PB2	176	2118	9	9.0
PB2	188	2164	9	9.0
PB2	191	2139	9	9.0
PB2	224	2118	9	9.0
PB2	258	2015	9	9.0
PA	191	1954	9	8.0
PB2	247	2008	9	8.0
HA	90	1508	8	8.0
HA	363	820	8	8.0
HA	369	1421	8	8.0
HA	1159	1218	8	8.0
M	316	405	8	8.0
M	328	515	8	8.0
M	359	434	8	8.0
M	518	741	8	8.0
NA	757	836	8	8.0
NP	1386	1503	8	8.0
NS	154	654	8	8.0
NS	155	670	8	8.0
NS	353	644	8	8.0
NS	652	700	8	8.0
PA	83	1199	8	8.0
PA	133	1950	8	8.0
PA	135	1865	8	8.0
PA	160	1954	8	8.0
PA	164	1954	8	8.0
PA	178	1944	8	8.0
PA	188	219	8	8.0
PA	203	1944	8	8.0
PA	204	1865	8	8.0
PA	207	1957	8	8.0
PA	210	1957	8	8.0
PA	211	1935	8	8.0
PA	216	1941	8	8.0
PA	237	1934	8	8.0
PA	283	1864	8	8.0
PA	298	1829	8	8.0
PA	1934	1965	8	8.0
PB1	46	88	8	8.0
PB1	291	1892	8	8.0
PB1	402	1893	8	8.0
PB1	482	1894	8	8.0
PB2	179	2116	8	8.0
PB2	179	2138	8	8.0
PB2	191	2053	8	8.0
PB2	224	2000	8	8.0
PB2	224	2014	8	8.0
PB2	224	2052	8	8.0
PB2	526	1760	8	8.0
PB2	1505	1841	8	8.0
PB2	222	2135	8	7.0
HA	1092	1138	7	7.0
M	81	788	7	7.0
M	229	635	7	7.0
M	250	620	7	7.0
M	437	606	7	7.0
M	517	624	7	7.0
M	729	845	7	7.0
NA	763	980	7	7.0
NP	215	676	7	7.0
NS	64	740	7	7.0
PA	128	2018	7	7.0
PA	135	2039	7	7.0
PA	161	1933	7	7.0
PA	161	1941	7	7.0
PA	161	1956	7	7.0
PA	164	192	7	7.0
PA	164	1934	7	7.0
PA	185	1950	7	7.0
PA	186	1963	7	7.0
PA	186	1970	7	7.0
PA	191	1957	7	7.0
PA	204	1942	7	7.0
PA	206	1956	7	7.0
PA	207	1942	7	7.0
PA	207	1949	7	7.0
PA	237	1942	7	7.0
PA	237	1954	7	7.0
PA	249	1948	7	7.0
PA	261	1801	7	7.0
PA	278	1864	7	7.0
PA	279	1843	7	7.0
PA	288	1865	7	7.0
PA	339	1829	7	7.0
PA	356	1742	7	7.0
PA	375	1534	7	7.0
PA	1947	1972	7	7.0
PB1	129	2121	7	7.0
PB2	121	2139	7	7.0
PB2	172	2138	7	7.0
PB2	185	2118	7	7.0
PB2	191	2152	7	7.0
PB2	226	2087	7	7.0
PB2	300	2023	7	7.0
PB2	312	2014	7	7.0
PB2	314	2020	7	7.0
PB2	372	1938	7	7.0
PB2	514	1762	7	7.0
PB2	983	1968	7	7.0
PB2	1507	1952	7	7.0
PB2	2175	2202	7	7.0
HA	355	1014	7	6.0
HA	1321	1460	7	6.0
PB2	151	2040	7	5.0
HA	335	1305	6	6.0
HA	371	849	6	6.0
HA	1508	1695	6	6.0
M	81	654	6	6.0
M	143	822	6	6.0
M	405	796	6	6.0
M	427	515	6	6.0
M	502	577	6	6.0
M	508	712	6	6.0
M	573	655	6	6.0
M	667	767	6	6.0
NA	91	1062	6	6.0
NA	245	1261	6	6.0
NP	327	1228	6	6.0
NP	776	849	6	6.0
NP	777	848	6	6.0
NP	803	848	6	6.0
NP	818	890	6	6.0
NS	63	726	6	6.0
NS	78	760	6	6.0
NS	90	729	6	6.0
NS	92	726	6	6.0
NS	328	357	6	6.0
NS	807	838	6	6.0
PA	70	106	6	6.0
PA	132	1954	6	6.0
PA	134	1944	6	6.0
PA	134	1945	6	6.0
PA	135	1978	6	6.0
PA	135	1981	6	6.0
PA	135	2060	6	6.0
PA	146	1948	6	6.0
PA	160	1949	6	6.0
PA	161	1864	6	6.0
PA	162	188	6	6.0
PA	176	1949	6	6.0
PA	181	1949	6	6.0
PA	184	1942	6	6.0
PA	186	218	6	6.0
PA	187	1969	6	6.0
PA	216	1933	6	6.0
PA	218	1949	6	6.0
PA	240	1832	6	6.0
PA	284	1843	6	6.0
PA	284	1969	6	6.0
PA	293	1842	6	6.0
PA	300	1810	6	6.0
PA	300	1842	6	6.0
PA	350	1829	6	6.0
PA	355	1806	6	6.0
PA	356	1865	6	6.0
PA	418	1752	6	6.0
PA	429	1746	6	6.0
PA	652	1496	6	6.0
PA	798	2056	6	6.0
PA	1930	1970	6	6.0
PA	1931	1973	6	6.0
PA	1933	1978	6	6.0
PB1	39	89	6	6.0
PB1	40	66	6	6.0
PB1	129	2133	6	6.0
PB1	190	2101	6	6.0
PB1	191	2025	6	6.0
PB1	192	2084	6	6.0
PB1	261	2042	6	6.0
PB1	559	1687	6	6.0
PB1	2227	2249	6	6.0
PB2	172	2014	6	6.0
PB2	186	2086	6	6.0
PB2	234	2084	6	6.0
PB2	286	1958	6	6.0
PB2	299	1920	6	6.0
PB2	309	2014	6	6.0
PB2	319	2000	6	6.0
PB2	328	2015	6	6.0
PB2	2150	2176	6	6.0
PA	271	1841	6	5.0
PA	282	1881	6	5.0
PB2	219	2026	6	2.0
HA	383	1548	5	5.0
HA	1106	1128	5	5.0
HA	1172	1197	5	5.0
M	73	702	5	5.0
M	142	725	5	5.0
M	255	629	5	5.0
M	329	429	5	5.0
M	403	704	5	5.0
M	485	741	5	5.0
M	564	664	5	5.0
M	577	826	5	5.0
NA	109	1245	5	5.0
NA	340	1304	5	5.0
NA	914	1017	5	5.0
NP	616	764	5	5.0
NP	630	855	5	5.0
NS	61	98	5	5.0
NS	77	739	5	5.0
NS	78	727	5	5.0
NS	93	770	5	5.0
NS	264	650	5	5.0
NS	318	591	5	5.0
NS	338	399	5	5.0
PA	83	2059	5	5.0
PA	91	137	5	5.0
PA	134	162	5	5.0
PA	134	2083	5	5.0
PA	135	2008	5	5.0
PA	146	1956	5	5.0
PA	155	2017	5	5.0
PA	160	1983	5	5.0
PA	160	1999	5	5.0
PA	161	204	5	5.0
PA	162	2017	5	5.0
PA	163	2016	5	5.0
PA	164	211	5	5.0
PA	168	1949	5	5.0
PA	186	1864	5	5.0
PA	186	1936	5	5.0
PA	186	1953	5	5.0
PA	187	1932	5	5.0
PA	187	1946	5	5.0
PA	191	1934	5	5.0
PA	206	1944	5	5.0
PA	206	1948	5	5.0
PA	217	1945	5	5.0
PA	233	1948	5	5.0
PA	242	1949	5	5.0
PA	255	1954	5	5.0
PA	268	1803	5	5.0
PA	286	1865	5	5.0
PA	291	1957	5	5.0
PA	301	1829	5	5.0
PA	312	1806	5	5.0
PA	312	1842	5	5.0
PA	313	1833	5	5.0
PA	339	1865	5	5.0
PA	353	1812	5	5.0
PA	356	1808	5	5.0
PA	407	1751	5	5.0
PA	407	1810	5	5.0
PA	412	1751	5	5.0
PA	419	1718	5	5.0
PA	419	1844	5	5.0
PA	420	1697	5	5.0
PA	482	1721	5	5.0
PA	503	1696	5	5.0
PA	512	1672	5	5.0
PA	558	1675	5	5.0
PA	652	1537	5	5.0
PA	729	1531	5	5.0
PA	1010	1758	5	5.0
PA	1311	1803	5	5.0
PA	1369	2096	5	5.0
PA	1830	1867	5	5.0
PA	1922	1946	5	5.0
PA	1930	1956	5	5.0
PA	1930	1963	5	5.0
PA	1932	1972	5	5.0
PA	2016	2072	5	5.0
PB1	39	63	5	5.0
PB1	46	2121	5	5.0
PB1	128	2101	5	5.0
PB1	150	2101	5	5.0
PB1	162	2121	5	5.0
PB1	224	2102	5	5.0
PB1	235	2042	5	5.0
PB1	246	2043	5	5.0
PB1	425	2031	5	5.0
PB1	2120	2157	5	5.0
PB2	109	2139	5	5.0
PB2	121	2117	5	5.0
PB2	167	2122	5	5.0
PB2	173	2069	5	5.0
PB2	181	2087	5	5.0
PB2	185	2052	5	5.0
PB2	189	2072	5	5.0
PB2	191	2123	5	5.0
PB2	206	2070	5	5.0
PB2	216	2117	5	5.0
PB2	224	2022	5	5.0
PB2	224	2116	5	5.0
PB2	224	2138	5	5.0
PB2	289	1975	5	5.0
PB2	289	2139	5	5.0
PB2	294	1921	5	5.0
PB2	315	1993	5	5.0
PB2	450	1620	5	5.0
PB2	526	1753	5	5.0
PB2	655	1665	5	5.0
PB2	976	1962	5	5.0
PB2	1129	1954	5	5.0
PB2	2061	2131	5	5.0
PB2	2116	2139	5	5.0
M	417	692	5	4.0
M	661	770	5	4.0
PA	615	1511	5	4.0
PB2	230	2111	5	4.0
HA	194	1507	4	4.0
HA	195	1395	4	4.0
HA	343	1319	4	4.0
HA	1165	1324	4	4.0
HA	1533	1557	4	4.0
M	116	662	4	4.0
M	153	512	4	4.0
M	163	591	4	4.0
M	202	840	4	4.0
M	216	568	4	4.0
M	250	740	4	4.0
M	255	514	4	4.0
M	394	473	4	4.0
M	406	800	4	4.0
M	431	564	4	4.0
M	435	763	4	4.0
M	486	661	4	4.0
M	592	674	4	4.0
M	608	839	4	4.0
M	615	785	4	4.0
M	756	807	4	4.0
NA	55	1244	4	4.0
NA	79	1200	4	4.0
NA	80	1246	4	4.0
NA	81	1254	4	4.0
NA	105	1244	4	4.0
NA	127	1273	4	4.0
NA	190	1200	4	4.0
NA	218	664	4	4.0
NA	827	883	4	4.0
NA	1103	1294	4	4.0
NA	1141	1246	4	4.0
NA	1209	1241	4	4.0
NP	94	628	4	4.0
NP	568	1130	4	4.0
NP	748	899	4	4.0
NP	748	1058	4	4.0
NP	782	1315	4	4.0
NP	835	899	4	4.0
NP	1227	1350	4	4.0
NP	1395	1501	4	4.0
NP	1410	1531	4	4.0
NS	41	726	4	4.0
NS	78	670	4	4.0
NS	78	706	4	4.0
NS	92	669	4	4.0
NS	92	759	4	4.0
NS	92	775	4	4.0
NS	93	740	4	4.0
NS	155	650	4	4.0
NS	240	364	4	4.0
NS	270	471	4	4.0
PA	83	113	4	4.0
PA	83	135	4	4.0
PA	83	164	4	4.0
PA	85	136	4	4.0
PA	88	112	4	4.0
PA	92	1949	4	4.0
PA	127	1969	4	4.0
PA	132	1964	4	4.0
PA	132	1981	4	4.0
PA	136	1976	4	4.0
PA	152	1948	4	4.0
PA	159	1972	4	4.0
PA	161	1943	4	4.0
PA	161	1970	4	4.0
PA	164	1865	4	4.0
PA	164	1964	4	4.0
PA	164	1983	4	4.0
PA	168	1942	4	4.0
PA	168	1957	4	4.0
PA	169	1955	4	4.0
PA	170	1949	4	4.0
PA	171	1972	4	4.0
PA	176	205	4	4.0
PA	176	1981	4	4.0
PA	187	1987	4	4.0
PA	187	2072	4	4.0
PA	191	1978	4	4.0
PA	193	1933	4	4.0
PA	195	1947	4	4.0
PA	195	1974	4	4.0
PA	201	1957	4	4.0
PA	202	1950	4	4.0
PA	207	1865	4	4.0
PA	210	1942	4	4.0
PA	211	1955	4	4.0
PA	216	1956	4	4.0
PA	217	1906	4	4.0
PA	218	1934	4	4.0
PA	228	1948	4	4.0
PA	236	1890	4	4.0
PA	236	1972	4	4.0
PA	236	2016	4	4.0
PA	242	1865	4	4.0
PA	242	1957	4	4.0
PA	250	1945	4	4.0
PA	260	1865	4	4.0
PA	278	1948	4	4.0
PA	278	1963	4	4.0
PA	280	318	4	4.0
PA	286	1833	4	4.0
PA	290	316	4	4.0
PA	291	1841	4	4.0
PA	291	1847	4	4.0
PA	301	1833	4	4.0
PA	312	348	4	4.0
PA	313	1835	4	4.0
PA	316	1843	4	4.0
PA	339	1818	4	4.0
PA	348	1811	4	4.0
PA	348	1843	4	4.0
PA	349	1810	4	4.0
PA	350	1818	4	4.0
PA	350	1835	4	4.0
PA	355	1751	4	4.0
PA	356	1696	4	4.0
PA	365	705	4	4.0
PA	383	1753	4	4.0
PA	407	1772	4	4.0
PA	417	1695	4	4.0
PA	436	1713	4	4.0
PA	438	1737	4	4.0
PA	448	1672	4	4.0
PA	467	803	4	4.0
PA	469	1714	4	4.0
PA	485	1671	4	4.0
PA	500	2004	4	4.0
PA	503	1672	4	4.0
PA	529	1672	4	4.0
PA	532	1660	4	4.0
PA	537	1539	4	4.0
PA	550	1628	4	4.0
PA	556	1538	4	4.0
PA	556	1629	4	4.0
PA	574	1627	4	4.0
PA	576	1628	4	4.0
PA	644	1979	4	4.0
PA	652	1480	4	4.0
PA	709	1468	4	4.0
PA	893	2095	4	4.0
PA	1805	1832	4	4.0
PA	1805	1864	4	4.0
PA	1807	1844	4	4.0
PA	1910	1934	4	4.0
PA	1933	1957	4	4.0
PA	1940	1972	4	4.0
PA	1942	1972	4	4.0
PA	1944	1973	4	4.0
PA	1948	1971	4	4.0
PA	2015	2051	4	4.0
PB1	37	71	4	4.0
PB1	46	106	4	4.0
PB1	46	130	4	4.0
PB1	55	88	4	4.0
PB1	129	2154	4	4.0
PB1	187	2133	4	4.0
PB1	191	2037	4	4.0
PB1	191	2121	4	4.0
PB1	232	1893	4	4.0
PB1	239	2102	4	4.0
PB1	261	1893	4	4.0
PB1	261	2004	4	4.0
PB1	263	1989	4	4.0
PB1	311	1907	4	4.0
PB1	320	1920	4	4.0
PB1	321	1864	4	4.0
PB1	326	2102	4	4.0
PB1	481	1693	4	4.0
PB1	507	1529	4	4.0
PB1	761	1622	4	4.0
PB1	1979	2042	4	4.0
PB1	2081	2103	4	4.0
PB1	2119	2158	4	4.0
PB1	2120	2142	4	4.0
PB1	2124	2155	4	4.0
PB1	2131	2158	4	4.0
PB1	2213	2249	4	4.0
PB2	117	2139	4	4.0
PB2	122	2124	4	4.0
PB2	172	2022	4	4.0
PB2	173	2177	4	4.0
PB2	176	2052	4	4.0
PB2	176	2116	4	4.0
PB2	176	2138	4	4.0
PB2	178	2119	4	4.0
PB2	178	2123	4	4.0
PB2	178	2139	4	4.0
PB2	179	2000	4	4.0
PB2	179	2052	4	4.0
PB2	179	2122	4	4.0
PB2	185	2138	4	4.0
PB2	188	2128	4	4.0
PB2	190	2081	4	4.0
PB2	191	2015	4	4.0
PB2	191	2088	4	4.0
PB2	192	2068	4	4.0
PB2	208	2139	4	4.0
PB2	224	1974	4	4.0
PB2	225	2042	4	4.0
PB2	225	2177	4	4.0
PB2	240	2052	4	4.0
PB2	257	2085	4	4.0
PB2	258	1975	4	4.0
PB2	258	2053	4	4.0
PB2	259	1994	4	4.0
PB2	268	2018	4	4.0
PB2	269	2000	4	4.0
PB2	276	2000	4	4.0
PB2	278	2043	4	4.0
PB2	279	2000	4	4.0
PB2	289	2001	4	4.0
PB2	315	2001	4	4.0
PB2	319	1992	4	4.0
PB2	325	2009	4	4.0
PB2	370	1931	4	4.0
PB2	480	1802	4	4.0
PB2	535	1743	4	4.0
PB2	602	2130	4	4.0
PB2	648	1673	4	4.0
PB2	655	1660	4	4.0
PB2	661	1666	4	4.0
PB2	675	2009	4	4.0
PB2	929	2135	4	4.0
PB2	930	1821	4	4.0
PB2	1606	1843	4	4.0
PB2	2176	2207	4	4.0
HA	62	1384	3	3.0
HA	89	1511	3	3.0
HA	89	1534	3	3.0
HA	194	1398	3	3.0
HA	264	1311	3	3.0
HA	275	1284	3	3.0
HA	275	1384	3	3.0
HA	278	1395	3	3.0
HA	279	787	3	3.0
HA	296	801	3	3.0
HA	351	940	3	3.0
HA	748	770	3	3.0
M	68	872	3	3.0
M	93	945	3	3.0
M	96	640	3	3.0
M	124	644	3	3.0
M	144	845	3	3.0
M	230	472	3	3.0
M	235	404	3	3.0
M	246	689	3	3.0
M	247	438	3	3.0
M	250	485	3	3.0
M	291	345	3	3.0
M	291	639	3	3.0
M	334	398	3	3.0
M	339	717	3	3.0
M	371	427	3	3.0
M	377	511	3	3.0
M	389	438	3	3.0
M	392	524	3	3.0
M	412	516	3	3.0
M	418	513	3	3.0
M	427	656	3	3.0
M	495	779	3	3.0
M	511	692	3	3.0
M	521	594	3	3.0
M	602	759	3	3.0
M	615	718	3	3.0
M	623	668	3	3.0
NA	50	82	3	3.0
NA	78	1289	3	3.0
NA	79	1302	3	3.0
NA	90	1287	3	3.0
NA	91	1254	3	3.0
NA	109	1200	3	3.0
NA	109	1227	3	3.0
NA	113	1211	3	3.0
NA	131	1211	3	3.0
NA	142	1049	3	3.0
NA	189	1256	3	3.0
NA	190	1302	3	3.0
NA	193	1237	3	3.0
NA	204	1253	3	3.0
NA	222	1248	3	3.0
NA	328	981	3	3.0
NA	387	890	3	3.0
NA	755	1095	3	3.0
NA	877	1244	3	3.0
NA	878	1056	3	3.0
NP	88	1394	3	3.0
NP	208	1502	3	3.0
NP	217	657	3	3.0
NP	234	1307	3	3.0
NP	235	1344	3	3.0
NP	328	1351	3	3.0
NP	332	1218	3	3.0
NP	531	792	3	3.0
NP	587	617	3	3.0
NP	626	1191	3	3.0
NP	745	990	3	3.0
NP	772	857	3	3.0
NP	807	1176	3	3.0
NP	1368	1492	3	3.0
NS	63	669	3	3.0
NS	75	734	3	3.0
NS	77	747	3	3.0
NS	78	736	3	3.0
NS	78	751	3	3.0
NS	85	764	3	3.0
NS	88	706	3	3.0
NS	92	705	3	3.0
NS	92	735	3	3.0
NS	94	739	3	3.0
NS	96	777	3	3.0
NS	156	653	3	3.0
NS	171	646	3	3.0
NS	182	646	3	3.0
NS	189	621	3	3.0
NS	266	368	3	3.0
NS	366	580	3	3.0
NS	453	627	3	3.0
NS	592	650	3	3.0
NS	723	745	3	3.0
NS	785	814	3	3.0
PA	69	92	3	3.0
PA	70	113	3	3.0
PA	80	137	3	3.0
PA	87	116	3	3.0
PA	89	136	3	3.0
PA	91	2071	3	3.0
PA	92	169	3	3.0
PA	92	2043	3	3.0
PA	94	138	3	3.0
PA	102	137	3	3.0
PA	104	1948	3	3.0
PA	105	1973	3	3.0
PA	105	2017	3	3.0
PA	111	135	3	3.0
PA	112	2072	3	3.0
PA	126	164	3	3.0
PA	126	1933	3	3.0
PA	126	1948	3	3.0
PA	126	1970	3	3.0
PA	127	2072	3	3.0
PA	132	165	3	3.0
PA	132	1942	3	3.0
PA	132	1971	3	3.0
PA	134	1958	3	3.0
PA	134	1968	3	3.0
PA	134	2071	3	3.0
PA	135	205	3	3.0
PA	135	1829	3	3.0
PA	135	1903	3	3.0
PA	137	163	3	3.0
PA	143	1949	3	3.0
PA	144	1979	3	3.0
PA	149	1989	3	3.0
PA	153	2017	3	3.0
PA	156	1846	3	3.0
PA	160	2039	3	3.0
PA	161	1963	3	3.0
PA	161	1982	3	3.0
PA	161	1988	3	3.0
PA	161	1992	3	3.0
PA	162	218	3	3.0
PA	162	1945	3	3.0
PA	162	1987	3	3.0
PA	163	1972	3	3.0
PA	164	189	3	3.0
PA	168	1971	3	3.0
PA	170	1937	3	3.0
PA	175	1944	3	3.0
PA	175	1972	3	3.0
PA	176	1954	3	3.0
PA	178	1959	3	3.0
PA	181	1954	3	3.0
PA	182	1972	3	3.0
PA	184	1964	3	3.0
PA	185	1866	3	3.0
PA	186	210	3	3.0
PA	186	1828	3	3.0
PA	186	1985	3	3.0
PA	186	1988	3	3.0
PA	186	2038	3	3.0
PA	187	1951	3	3.0
PA	187	2017	3	3.0
PA	191	1942	3	3.0
PA	191	1971	3	3.0
PA	193	1956	3	3.0
PA	194	218	3	3.0
PA	194	1936	3	3.0
PA	198	1950	3	3.0
PA	201	1942	3	3.0
